tidak_baku,kata_baku;
terusterusan,terus-terusan;
musingin,memusingkan;
smpek,sampai;
worst,terburuk;
berhasil2,berhasil;
stay,tinggal;
with,dengan;
kesalahansilahkan,kesalahan silahkan;
bisabisa,bisa-bisa;
wajahmemelas,bingung;
kpd,kepada;
jempolkebawahjempolkebawah,tidak suka;
bravo,mantap;
servicenya,layanan;
25ribu,dua puluh lima ribu;
rekomen,rekomendasi;
cash,tunai;
feature,fitur;
nyerah,menyerah;
mngkin,mungkin;
pda,pada;
kurg,kurang;
benar²,benar-benar;
bnr2,benar-benar;
ferifikasi,verifikasi;
bsa2,bisa-bisa;
kr,karena;
wajahdenganmatakeatas,capek;
sehari2,sehari-hari;
verifikasih,verifikasi;
refund,kembalikan uang;
ty,terima kasih;
abiss,habis;
ee,eh;
wkt,waktu;
masukkin,masukan;
peraktis,praktis;
nyobain,coba;
kereeenn,keren;
ribeut,ribet;
iki,ini;
10ribu,sepuluh ribu rupiah;
push,dorong;
feedback,umpan balik;
ribet2,ribet;
masukmasuk,masuk;
taro,taruh;
wajahtersenyumdenganmatabahagia,senang;
ggal,gagal;
nlpn,telepon;
jelass,jelas;
habiss,habis;
jngan,jangan;
tida,tidak;
plisss,tolonglah;
haloo,halo;
gmana,gimana;
tertawaterbahakbahaktertawaterbahakbahaktertawaterbahakbahak,tertawa;
ngapalin,hafalkan;
fress,segar;
wajahlega,senang;
24jam,dua puluh empat jam;
sbg,sebagai;
wajahmenguap,capek;
cashback,pengembalian uang;
berbelit2,berbelit-belit;
aneh2,aneh-aneh;
hut,pondok;
bluetooth,fitur pengiriman;
gabisa2,tidak bisa;
abal2,abal-abal;
mybcanya,mybca;
hati²,hati-hati;
100k,seratus ribu rupiah;
nunggunya,menunggu;
jelasudah,jelas sudah;
jobs,kerja;
nelponnya,telepon;
notice,respon;
skr,sekarang;
kog,kok;
kgk,tidak;
nanggung,tanggung;
centre,pusat;
brmo,aplikasi bank mobile bank lain;
fiturny,fiturnya;
pulak,pula;
lagian,lagipula;
kelebihannya,lebih;
sngat,sangat;
sep,sip;
15k,lima belas ribu rupiah;
delay,tunda;
skrang,sekarang;
icon,lambang;
3rb,tiga ribu rupiah;
failed,gagal;
malu2in,memalukan;
usefull,kurang berguna;
data2,data-data;
b,biasa aja;
nipu,menipu;
akui,mengakui;
connect,terhubung;
ngotak,mikir;
benar2,benar-benar;
mbengking,mobile banking;
go,pergi;
byar,bayar;
nnti,nanti;
pegel,pegal;
aplication,aplikasi;
siiip,sip;
3hr,tiga hari;
telefon,telepon;
20ribu,dua puluh ribu rupiah;
okok,oke;
inj,ini;
goceng,5 ribu;
real,asli;
aktf,aktif;
otw,sedang di jalan;
salahpadahal,salah padahal;
wajahberkacamatahitamjempolkeatas,keren;
tuju,dituju;
banyak2,banyak-banyak;
